Run,Control
0.8000,0.2000
0.3750,0.6250
0.3750,0.6250
0.6430,0.3570
0.3750,0.6250
0.5084,0.4916
0.6430,0.3570
0.5084,0.4916
0.2224,0.7776
0.6430,0.3570
0.5084,0.4916
0.5084,0.4916
0.5084,0.4916
0.3750,0.6250
0.3750,0.6250
0.3750,0.6250
0.3750,0.6250
0.0165,0.9835
0.6430,0.3570
0.5084,0.4916
0.5084,0.4916
0.6430,0.3570
0.6430,0.3570
0.0165,0.9835
0.0165,0.9835
0.6430,0.3570
0.6430,0.3570
0.5084,0.4916
0.3750,0.6250
0.2224,0.7776
0.3750,0.6250
0.6430,0.3570
0.2224,0.7776
0.3750,0.6250
0.5084,0.4916
0.0165,0.9835
0.5084,0.4916
0.2224,0.7776
0.5084,0.4916
0.5084,0.4916
0.0165,0.9835
0.0165,0.9835
0.5084,0.4916
0.5084,0.4916
0.6430,0.3570
0.2224,0.7776
0.3750,0.6250
0.2224,0.7776
0.5084,0.4916
0.6430,0.3570
0.5084,0.4916
0.5084,0.4916
0.0165,0.9835
0.2224,0.7776
0.6430,0.3570
0.5084,0.4916
0.6430,0.3570
0.3750,0.6250
0.0165,0.9835
0.5084,0.4916
0.6430,0.3570
0.0165,0.9835
0.5084,0.4916
0.2224,0.7776
0.0165,0.9835
0.5084,0.4916
0.6430,0.3570
0.3750,0.6250
0.5084,0.4916
0.0165,0.9835
0.5084,0.4916
0.3750,0.6250
0.3750,0.6250
0.5084,0.4916
0.6430,0.3570
0.0165,0.9835
0.5084,0.4916
0.3750,0.6250
0.3750,0.6250
0.5084,0.4916
0.5084,0.4916
0.0165,0.9835
0.5084,0.4916
0.3750,0.6250
0.5084,0.4916
0.5084,0.4916
0.5084,0.4916
0.3750,0.6250
0.5084,0.4916
0.6430,0.3570
0.5084,0.4916
0.0165,0.9835
0.5084,0.4916
0.2224,0.7776
0.5084,0.4916
0.6430,0.3570
0.3750,0.6250
0.0165,0.9835
0.5084,0.4916
0.2224,0.7776
0.3750,0.6250
0.6430,0.3570
0.3750,0.6250
0.0165,0.9835
0.0165,0.9835
0.2224,0.7776
0.6430,0.3570
0.2224,0.7776
0.0165,0.9835
0.5084,0.4916
0.3750,0.6250
0.5084,0.4916
0.5084,0.4916
0.3750,0.6250
0.5084,0.4916
0.3750,0.6250
0.5084,0.4916
0.3750,0.6250
0.3750,0.6250
0.3750,0.6250
0.5084,0.4916
0.3750,0.6250
0.5084,0.4916
0.6430,0.3570
0.2224,0.7776
0.3750,0.6250
0.6430,0.3570
0.3750,0.6250
0.3750,0.6250
0.6430,0.3570
0.3750,0.6250
0.8333,0.1667
0.2224,0.7776
